,Gross domestic product,,Agriculture,,Industry,,Manufacturing,,Services,
,,,,,,,,,,
,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),
,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024
South Asia,6.1,7.8,3.7,4.3,5.6,7.2,6.5,6,6.9,8.4
Sub-Saharan Africa,2.9,3.5,3.5,2.9,1.9,3.2,3,3.3,3,3.8
Low income,0.8,1.7,1.3,1.3,-1.3,4,..,..,1.2,0.4
Lower middle income,5,6,3.3,3.5,4.7,5.4,5.6,5.1,5.5,6.6
Upper middle income,4.8,4.8,3.4,3.4,4.6,4.3,..,..,5.4,5.3
High income,1.8,3,0.7,1.8,1.5,2.5,1.9,3.7,..,..
,,,,,,,,,,
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,,
,,,,,,,,,,
4.1 Growth of Gross Domestic Product,,,,,,,,,,
,,,,,,,,,,
"World Development Indicators , THE WORLD BANK",,,,,,,,,,
Last updated date 04/08/2026,,,,,,,,,,
,,,,,,,,,,
About the Data,,,,,,,,,,
,,,,,,,,,,
GDP (constant 2015 US$),,,,,,,,,,
Long definition,,,,,,,,,,
"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"Country official statistics, National Statistical Organizations and/or Central Banks; National Accounts data files, Organisation for Economic Co-operation and Development (OECD); Staff estimates, World Bank (WB)",,,,,,,,,,
,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",,,,,,,,,,
Long definition,,,,,,,,,,
